epoch,lr,train_loss,train_accuracy,validation_loss,validation_accuracy,best_validation_accuracy_so_far,official_test_accuracy,checkpoint,elapsed_s
1,9.999931461237134e-05,0.4989120463795132,82.69777777777777,0.4112506938934326,85.82,85.82,,best_validation.pt,16.514556407928467
2,9.999725846827562e-05,0.45417713481055366,84.16222222222223,0.4395898849010468,85.0,85.82,,,16.293052196502686
3,9.999383162408305e-05,0.4377949814478556,84.7688888888889,0.42926569476127624,84.76,85.82,,,16.651767015457153
4,9.99890341737423e-05,0.44323093297216626,84.58888888888889,0.4945630414009094,83.2,85.82,,,16.37483549118042
5,9.998286624877787e-05,0.43719253249698214,84.69333333333333,0.4640939431667328,83.66,85.82,,,16.298415899276733
6,9.99753280182866e-05,0.4342208206918505,84.77777777777777,0.42246952826976775,85.24,85.82,,,16.28480076789856
7,9.996641968893282e-05,0.4330281942791409,84.82888888888888,0.4636704755783081,83.62,85.82,,,16.349274396896362
8,9.995614150494293e-05,0.44245851522551644,84.69777777777777,0.42609905440807344,85.48,85.82,,,16.44777488708496
9,9.994449374809851e-05,0.42628042894999185,85.22,0.40035745785832405,86.02,86.02,,best_validation.pt,16.81000542640686
10,9.993147673772868e-05,0.42842813100285,85.06444444444445,0.43973932495117185,84.38,86.02,,,16.565714597702026
11,9.991709083070141e-05,0.42073266514672175,85.05777777777777,0.43415928308963775,84.66,86.02,,,16.91662073135376
12,9.990133642141357e-05,0.42723412742614747,85.08,0.4262334832787514,85.12,86.02,,,16.385441303253174
13,9.988421394178026e-05,0.42369614073435463,85.10888888888888,0.4645578798294067,83.54,86.02,,,16.33321499824524
14,9.98657238612229e-05,0.4255929677804311,85.08666666666667,0.43741494016647336,85.02,86.02,,,16.31340217590332
15,9.98458666866564e-05,0.4210695601410336,85.23555555555555,0.4782908621788025,83.6,86.02,,,16.327962398529053
16,9.982464296247522e-05,0.42294305050108166,85.00444444444445,0.47100062415599825,83.68,86.02,,,16.32218623161316
17,9.98020532705385e-05,0.4245347049077352,85.19777777777777,0.45608158712387087,84.18,86.02,,,16.299951553344727
18,9.977809823015401e-05,0.42965433081520926,84.86444444444444,0.4387613526105881,84.24,86.02,,,16.26260781288147
19,9.975277849806133e-05,0.42706186690860326,85.08,0.45810007390379903,84.04,86.02,,,16.261120557785034
20,9.972609476841367e-05,0.4252149245738983,85.05111111111111,0.512334262996912,82.46,86.02,,,16.226449251174927
21,9.9698047772759e-05,0.42668708374765185,85.11777777777777,0.41830543352365496,85.6,86.02,,,16.278207778930664
